fid,Title,Path,PHOTO_ID,POI_ID,ACTION,MR_PHOTOID,POI_NAME,CATEGORY,SUB_CAT,LANDLINE,MOBILE,MOBILE_1,TOLL_FREE,POI_EMAIL,WEBSITE,SERVICE_TY,IS_EXIST,RE-OPEN DA,DAYS_OF_WO,PARENT_CHI,PARENT_ID,POINT_ADDR,STREET_ROA,SECON_SREE,LOCALITY,SUB_LOCALI,LANDMARK,CITY,POSTCODE,BUILD_LATE,BUILD_LONE,1ST_OPEN,1ST_CLOSE,2ND_OPEN,2ND_CLOSE,FRAME_1,FRAME_2,FRAME_3,REMARKS,COLLECT_ON,COLLECT_DT,PRO_RESOUR,PROD_DATE,TYPE_COLL,A_CATEGORY,A_SUB_CAT,QC_RESOURC,QIL_DMK,FISH_EYE,TRANSLATION_POI,DISPLAY_POI,BRAND_POI,FLOOR_INFO,DISPLAY_LATLON
10567,DCIM\111GOPRO\G0196448.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236251.JPG,IDN_00000236251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,,,,,,
10568,DCIM\111GOPRO\G0196449.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236252.JPG,IDN_00000236252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,,,,,,
10569,DCIM\111GOPRO\G0196450.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236253.JPG,IDN_00000236253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,,,,,,
10570,DCIM\111GOPRO\G0196451.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236254.JPG,IDN_00000236254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,,,,,,
10571,DCIM\111GOPRO\G0196452.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236255.JPG,IDN_00000236255,,,,IWAN TAYLOR,SPECIALTY/BRANDED STORE,TAILOR & ALTERATION,,,,,,,,OPEN,,,PARENT,,,,,,,,JAKARTA,,-6.304463763,106.8270884,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,NO,,YES,,GROUND FLOOR,"-6.30445439, 106.82711993"
10572,DCIM\111GOPRO\G0196453.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236256.JPG,IDN_00000236256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,,,,,,
10573,DCIM\111GOPRO\G0196454.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236257.JPG,IDN_00000236257,,,,SERTCO QUALITY ,BUSINESS FACILITY/OFFICE,OTHER,,,,,,,,OPEN,,,PARENT,,,,,,,,JAKARTA,,-6.304378754,106.8270598,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,NO,,YES,,GROUND FLOOR,"-6.30431023, 106.82724578"
10574,DCIM\111GOPRO\G0196455.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236258.JPG,IDN_00000236258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,,,,,,
10575,DCIM\111GOPRO\G0196456.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236259.JPG,IDN_00000236259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,,,,,,
10576,DCIM\111GOPRO\G0196457.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236260.JPG,IDN_00000236260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,,,,,,
